Start;Duration
245.10043000000002;0.88
246.337589;0.934
246.418575;0.965
246.420099;0.979
245.702026;1.708
245.703267;1.72
1157.467267;2.126
1296.572029;2.548
1493.48522;0.898
1591.0169540000002;1.495
1686.782299;1.455
1788.970599;1.488
2005.234373;2.12
2207.707097;2.62
2392.279302;2.617
2577.7641310000004;2.707
2763.109314;2.608
2958.0773799999997;2.646
3160.5030340000003;2.564
3363.289818;3.325
3573.5518859999997;3.395
3776.397166;2.709
3979.080523;2.927
4180.005762;2.661
4375.988496999999;2.819
4557.127785;2.881
4736.197621;2.718
4918.693488;2.734
5124.444194000001;2.748
5302.591523;3.093
5482.214344;3.088
5659.009675;2.8
5839.858372;3.243
6018.870826;2.989
6230.510386;2.832
6411.0019059999995;3.212
6590.831953000001;2.909
6768.417178;2.925
6949.625861;3.022
7155.090552000001;2.958
7333.453160999999;3.569
7516.398684;3.076
7696.785825;3.106
7873.534465;3.679
8061.297976;3.24
8459.19329;1.636
8634.454679999999;2.171
8812.099316;2.218
8996.261727000001;2.211
