Start;RSS;HeapTotal;HeapUsed
5000.659751;78319616;57752320;32934024
10000.228361;106307584;85602560;58190504
15004.783294;106369024;86634496;25360704
20008.419524;106369024;86634496;25364256
25013.496354;106369024;86634496;25367000
30018.88877;106369024;86634496;25369744
35023.732041;106369024;86634496;25372480
40028.510869;106369024;86634496;25375224
45032.191095;106369024;86634496;25377968
